web-scraper-order,web-scraper-start-url,title-link,title-link-href,title,authors,artists,description,genres,demographic,image-src
"1567114905-317","http://m.mangatown.com/directory/0-0-0-0-0-0/","Naruto
Shounen, Adventure
Author(s): Kishimoto Masashi
Views: 2019911
Jan 21, 2019","http://m.mangatown.com/manga/naruto","Naruto","Kishimoto Masashi","Artist(s): Kishimoto Masashi","Twelve years before the start of the series, a powerful creature known as the Nine-tailed Demon Fox attacked the ninja village Konohagakure, decimating many people. In response, the leader of Konohagakure's ninja military – theFourth Hokage – sacrificed his life to seal the demon inside his newly born child Naruto Uzumaki. Konohagakure, however, regarded Naruto as if he were the demon fox itself and mistreated him throughout most of his childhood.
The plot tells the story of Naruto Uzumaki, now a adolescent ninja who constantly searches for recognition and dreams to become the Hokage, the ninja in his village who is acknowledged as the leader and the strongest of all. HIDE","Genre(s): Adventure Comedy Drama FantasyAction","Shounen","https://l.mangatown.com/store/manga/8/ocover.jpg?token=452456adf15dd9e7bc1a705fc680b82f816d21ab&ttl=1567198800&v=1558500140"
"1567114936-331","http://m.mangatown.com/directory/0-0-0-0-0-0/","Shingeki no Kyojin
Shounen, Drama
Author(s): Isayama Hajime
Views: 3787495
Aug 6, 2019","http://m.mangatown.com/manga/shingeki_no_kyojin","Shingeki no Kyojin","Isayama Hajime","Artist(s): Isayama Hajime","Several hundred years ago, humans were nearly exterminated by giants. Giants are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of giants.
Flash forward to the present and the city has not seen a giant in over 100 years. Teenage boy Elen and his foster sister Mikasa witness something horrific as the city walls are destroyed by a super giant that appears out of thin air. As the smaller giants flood the city, the two kids watch in horror as their mother is eaten alive. Elen vows that he will murder every single giant and take revenge for all of mankind. HIDE","Genre(s): Drama Fantasy Horror Mature Mystery Supernatural TragedyAction","Shounen","https://l.mangatown.com/store/manga/8886/ocover.jpg?token=bdfa7a685fd2cf9f159736e5c88b620f8ecbc559&ttl=1567198800&v=1558497565"
"1567114940-333","http://m.mangatown.com/directory/0-0-0-0-0-0/","Tate no Yuusha no Nariagari
Seinen, Adventure
Author(s): Aneko Yusagi
Views: 4110404
Aug 6, 2019","http://m.mangatown.com/manga/tate_no_yuusha_no_nariagari","Tate no Yuusha no Nariagari","Aneko Yusagi","Artist(s): Aiya Kyu","Naofumi Iwatani, an uncharismatic Otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become the legendary Shield Hero and save the world! HIDE","Genre(s): Adventure Fantasy Harem RomanceAction","Seinen","https://l.mangatown.com/store/manga/15063/ocover.jpg?token=a1fbc5d9b1f4fde08c3d74dce7ea3dc1b48d36fd&ttl=1567198800&v=1558497408"
"1567114947-336","http://m.mangatown.com/directory/0-0-0-0-0-0/","Shokugeki no Soma
Shounen, Cooking
Author(s): Tsukuda Yuuto
Views: 9762418
Jun 14, 2019","http://m.mangatown.com/manga/shokugeki_no_soma","Shokugeki no Soma","Tsukuda Yuuto","Artist(s): Saeki Shun","Yukihira Souma's dream is to become a full-time chef in his father's restaurant and surpass his father's culinary skill. But just as Yukihira graduates from middle schools his father, Yukihira Jouichirou, closes down the restaurant to cook in Europe. Although downtrodden, Souma's fighting spirit is rekindled by a challenge from Jouichirou which is to survive in an elite culinary school where only 10% of the students graduate. Can Souma survive? HIDE","Genre(s): Cooking Drama Ecchi Romance School LifeComedy","Shounen","https://l.mangatown.com/store/manga/12114/ocover.jpg?token=7e94884d0504d981418cfdb5b2cde061c3bc3cc7&ttl=1567198800&v=1545891970"
"1567114922-325","http://m.mangatown.com/directory/0-0-0-0-0-0/","Dungeon ni Deai o ... rou ka
Seinen, Adventure
Author(s): Oomori Fujino
Views: 2727749
Apr 11, 2019","http://m.mangatown.com/manga/dungeon_ni_deai_o_motomeru_no_wa_machigatte_iru_darou_ka","Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka","Oomori Fujino","Artist(s): Kunieda","Bell Cranel is just trying to find his way in the world. Of course, in his case, the “world” is an enormous dungeon filled with monsters below a city run by gods and goddesses with way too much time on their hands. He’s got big dreams but not much more when a roll on the random encounter die brings him face-to-face with the girl of his dreams—but what’s an amateur adventurer got to offer a brilliant swordswoman? And what if the lonely goddess who sponsors his solo adventuring gets jealous? HIDE","Genre(s): Adventure Comedy Ecchi Fantasy Harem RomanceAction","Seinen","https://l.mangatown.com/store/manga/13613/ocover.jpg?token=e729393c7c5e86169182dab66820a6690152b921&ttl=1567198800&v=1543568462"
"1567114943-334","http://m.mangatown.com/directory/0-0-0-0-0-0/","Tales of Demons and Gods
Shounen, Adventure
Author(s): Mad Snail
Views: 4642753
Today","http://m.mangatown.com/manga/tales_of_demons_and_gods","Tales of Demons and Gods","Mad Snail","Artist(s): Mad Snail","In his past life, although too weak to protect his home when it counted, out of grave determination Nie Li became the strongest Demon Spiritist and stood at the pinnacle of the martial world. However, he lost his life during the battle with the Sage Emperor and six deity-ranked beasts.
His soul was then brought back to when he was still 13 years old. Although he's the weakest in his class with the lowest talent, having only a red soul realm and a weak one at that, with the aid of the vast knowledge which he accumulated from his previous life, he decided to train faster than anyone could expect. He also decided to help those who died nobly in his previous life to train faster as well.
He aims to protect the city from the coming future of being devastated by demon beasts and the previous fate of ending up destroyed. He aims to protect his lover, friends, family and fellow citizens who died in the beast assault or its aftermath. And he aims to destroy the so-called Sacred family who arrogantly abandoned their duty and betrayed the city in his past life. HIDE","Genre(s): Adventure Comedy Drama Fantasy Harem RomanceAction","Shounen","https://l.mangatown.com/store/manga/18607/ocover.jpg?token=48df1cf19e765e83d637a0462acb7134627bba66&ttl=1567198800&v=1558496364"
"1567114930-328","http://m.mangatown.com/directory/0-0-0-0-0-0/","Black Clover
Shounen, Adventure
Author(s): Tabata Yuuki
Views: 2944975
Aug 23, 2019","http://m.mangatown.com/manga/black_clover","Black Clover","Tabata Yuuki","Artist(s): Tabata Yuuki","In a world where magic was everything, there was a boy born unable to use any magic, and he had been abandoned to a poor church as a child. His name was Asta.
To prove oneself and to keep his promise with his friend, he aims to become the Wizard King!
An all-time favorite young and magical fantasy drawn with a beautiful touch and moved by its passionate characters! HIDE","Genre(s): Adventure Drama FantasyAction","Shounen","https://l.mangatown.com/store/manga/17375/ocover.jpg?token=c7855a016b1bd9aecf78f9ec2b200f2af67b87bd&ttl=1567198800&v=1512611294"
"1567114934-330","http://m.mangatown.com/directory/0-0-0-0-0-0/","Bleach
Shounen, Adventure
Author(s): Kubo Tite
Views: 3475975
Dec 8, 2017","http://m.mangatown.com/manga/bleach","Bleach","Kubo Tite","Artist(s): Kubo Tite","Bleach follows the adventures of Ichigo Kurosaki after he obtains the powers of a Soul Reaper —a death personification similar to the Grim Reaper—from another Soul Reaper, Rukia Kuchiki.
His newfound powers force him to take on the duties of defending humans from evil spirits and guiding departed souls to the afterlife.
What the Bleach manga attracted us is not the novel lot, but the interpretation about the fate of Ichigo Kurosaki, a young who stay with the sad memories.
The Bleach tried to outline the story out with a lot of memories and dialogues, slowly but implicative. HIDE","Genre(s): Adventure Comedy Drama Martial Arts SupernaturalAction","Shounen","https://l.mangatown.com/store/manga/9/ocover.jpg?token=cdce848b52e45e9a83b88c177e9fc27119ebe00e&ttl=1567198800&v=1558500033"
"1567114938-332","http://m.mangatown.com/directory/0-0-0-0-0-0/","Nanatsu no Taizai
Shounen, Adventure
Author(s): Suzuki Nakaba
Views: 4094838
Aug 26, 2019","http://m.mangatown.com/manga/nanatsu_no_taizai","Nanatsu no Taizai","Suzuki Nakaba","Artist(s): Suzuki Nakaba","The ""Seven Deadly Sins"", a group of evil knights who conspired to overthrow the kingdom of Britannia, were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the ""Seven Deadly Sins"", and to enlist their help in taking back the kingdom. HIDE","Genre(s): Adventure Comedy Ecchi Fantasy SupernaturalAction","Shounen","https://l.mangatown.com/store/manga/11925/ocover.jpg?token=85033811dc283654c99c9083ae2965da521a52c2&ttl=1567198800&v=1558497031"
"1567114918-323","http://m.mangatown.com/directory/0-0-0-0-0-0/","Tokyo Ghoul:re
Seinen, Horror
Author(s): Ishida Sui
Views: 2511903
Nov 14, 2018","http://m.mangatown.com/manga/tokyo_ghoul_re","Tokyo Ghoul:re","Ishida Sui","Artist(s): Ishida Sui","In Tokyo, an unchanging despair is lurking.
Mysterious man-eating beings, ghouls, run rampant in Tokyo. Living hidden during everyday life, the existence of ghouls, whose true identities are shrouded in mystery, permanently terrorizes Tokyo's residents.
At CCG, the sole institution that investigates and resolves cases related to ghouls, Haise Sasaki has been assigned a certain mission. While dealing with the unruly four problem children known as ""Quinx"", has Haise's days of suffering begun? HIDE","Genre(s): Horror Mature Psychological Supernatural TragedyAction","Seinen","https://l.mangatown.com/store/manga/15429/ocover.jpg?token=5fc89a83231a9f885e4106f64d8be1718cd6d9d2&ttl=1567198800&v=1502848585"
